COMMUNE_NOM,COLL_SIRET,ANIMATIONS,DATE DEBUT,DATE FIN,ORGANISATEUR,LIEU 1,LIEU 2,LIEU 3
Antibes,21060004500012,Ski Nautique ,2020-07-04,2020-07-04,Belles Rives Ski Nautique Club,Ponton du Belles Rives,,
Antibes,21060004500012,Aquagym,2020-07-08,2020-07-08,Cercle des Nageurs d'Antibes,Plage du Ponteil,,
Antibes,21060004500012,Biodonza,2020-07-09,2020-07-09,Association Bel Hêtre,Base Nautique,,
Antibes,21060004500012,Nocturne de Pétanque,2020-07-10,2020-07-10,AS Fontonne Boule,Clos Borriglion,,
Antibes,21060004500012,Salsa Batchata ,2020-07-10,2020-07-10,Somos Latinos,Place Mariejol,,
Antibes,21060004500012,Aquagym,2020-07-10,2020-07-10,Cercle des Nageurs d'Antibes,Plage du Ponteil,,
Antibes,21060004500012,Méditation,2020-07-15,2020-07-15,Meditbliss,Parc Exflora,,
Antibes,21060004500012,Biodonza,2020-07-16,2020-07-16,Association Bel Hêtre,Base Nautique,,
Antibes,21060004500012,Salsa Batchata ,2020-07-17,2020-07-17,Somos Latinos,Place Mariejol,,
Antibes,21060004500012,Nocturne de Pétanque,2020-07-17,2020-07-17,AS Fontonne Boule,Clos Borriglion,,
Antibes,21060004500012,Concours Canin ring,2020-07-17,2020-07-18,Amicale du Chien de Travail d'Antibes,ZI des 3 Moulins,,
Antibes,21060004500012,Ski Nautique ,2020-07-18,2020-07-18,Belles Rives Ski Nautique Club,Ponton du Belles Rives,,
Antibes,21060004500012,Aquagym,2020-07-22,2020-07-22,Cercle des Nageurs d'Antibes,Plage du Ponteil,,
Antibes,21060004500012,Méditation,2020-07-22,2020-07-22,Meditbliss,Parc Exflora,,
Antibes,21060004500012,Biodonza,2020-07-23,2020-07-23,Association Bel Hêtre,Base Nautique,,
Antibes,21060004500012,Nocturne de Pétanque,2020-07-24,2020-07-24,AS Fontonne Boule,Clos Borriglion,,
Antibes,21060004500012,Salsa Batchata ,2020-07-24,2020-07-24,Somos Latinos,Place Mariejol,,
Antibes,21060004500012,Aquagym,2020-07-29,2020-07-29,Cercle des Nageurs d'Antibes,Plage du Ponteil,,
Antibes,21060004500012,Méditation,2020-07-29,2020-07-29,Meditbliss,Parc Exflora,,
Antibes,21060004500012,Biodonza,2020-07-30,2020-07-30,Association Bel Hêtre,Base Nautique,,
Antibes,21060004500012,Salsa Batchata ,2020-07-30,2020-07-30,Somos Latinos,Place Mariejol,,
Antibes,21060004500012,Nocturne de Pétanque,2020-07-30,2020-07-30,AS Fontonne Boule,Clos Borriglion,,
Antibes,21060004500012,Marathon Estivale Féminin de boules ,2020-08-02,2020-08-02,AS Fontonne Boule,Clos Borriglion,,
Antibes,21060004500012,Biodonza,2020-08-04,2020-08-04,Association Bel Hêtre,Base Nautique,,
Antibes,21060004500012,Aquagym,2020-08-05,2020-08-05,Cercle des Nageurs d'Antibes,Plage du Ponteil,,
Antibes,21060004500012,Zumba,2020-08-06,2020-08-06,Sport et Culture 06,Square Gould,,
Antibes,21060004500012,Nocturne de Pétanque,2020-08-07,2020-08-07,AS Fontonne Boule,Clos Borriglion,,
Antibes,21060004500012,Salsa Batchata ,2020-08-07,2020-08-07,Somos Latinos,Place Mariejol,,
Antibes,21060004500012,Biodonza,2020-08-11,2020-08-11,Association Bel Hêtre,Base Nautique,,
Antibes,21060004500012,Aquagym,2020-08-12,2020-08-12,Cercle des Nageurs d'Antibes,Plage du Ponteil,,
Antibes,21060004500012,Salsa Batchata ,2020-08-14,2020-08-14,Somos Latinos,Place Mariejol,,
Antibes,21060004500012,Nocturne de Pétanque,2020-08-14,2020-08-14,AS Fontonne Boule,Clos Borriglion,,
Antibes,21060004500012,Biodonza,2020-08-18,2020-08-18,Association Bel Hêtre,Base Nautique,,
Antibes,21060004500012,Aquagym,2020-08-19,2020-08-19,Cercle des Nageurs d'Antibes,Plage du Ponteil,,
Antibes,21060004500012,Salsa Batchata ,2020-08-21,2020-08-21,Somos Latinos,Place Mariejol,,
Antibes,21060004500012,32ème Challenge Marc Grilli,2020-08-21,2020-08-21,Belles Rives Ski Nautique Club,Ponton du Belles Rives,,
Antibes,21060004500012,Nocturne de Pétanque,2020-08-21,2020-08-21,AS Fontonne Boule,Clos Borriglion,,
Antibes,21060004500012,Biodonza,2020-08-25,2020-08-25,Association Bel Hêtre,Base Nautique,,
