animations,date_debut,date_fin,organisateur,lieu_1,yd,md,dd,yf,mf,df,yearmonth,duration
téléthon du collège roustan,2019-12-07,2019-12-07,collège roustan,stade foch,2019,12,7,2019,12,7,2019-12,0
championnat départemental de natation,2019-12-08,2019-12-08,cdsa 06,stade nautique d'antibes,2019,12,8,2019,12,8,2019-12,0
réunion ffct,2019-12-14,2019-12-14,olympique cyclo club d'antibes,au club,2019,12,14,2019,12,14,2019-12,0
29ème trophée rené beguinet,2019-12-15,2019-12-15,antibes triathlon,pinède gould,2019,12,15,2019,12,15,2019-12,0
bain du jour de l'an,2020-01-01,2020-01-01,day one,plage de la salis,2020,1,1,2020,1,1,2020-1,0
rencontre interclub n3,2020-01-04,2020-01-04,badminton club d'antibes,gymnase de la fontonne,2020,1,4,2020,1,4,2020-1,0
match parent + galette des rois,2020-01-12,2020-01-12,oajlp handball,salle saint claude,2020,1,12,2020,1,12,2020-1,0
ag wild move,2020-01-12,2020-01-12,wild move,base nautique du ponteil,2020,1,12,2020,1,12,2020-1,0
ski voile international,2020-01-16,2020-01-19,société des régates d'antibes,port gallice,2020,1,16,2020,1,19,2020-1,3
19ème souvenir ange rovillo,2020-01-19,2020-01-19,antibes vélo passion,parking du ponteil,2020,1,19,2020,1,19,2020-1,0
rencontre france/pays de galles,2020-01-21,2020-01-24,asf hockey sur gazon,stade docteur léger,2020,1,21,2020,1,24,2020-1,3
challenge interdépartemental de sarbacanne,2020-01-22,2020-01-22,handisport antibes méditerranée,salle saint claude,2020,1,22,2020,1,22,2020-1,0
sélection départementale performance et fédérale de gym,2020-02-01,2020-02-01,oajlp gymnastique,salle pierre brochard,2020,2,1,2020,2,1,2020-2,0
top 12 gym,2020-02-08,2020-02-08,oajlp gymnastique,foch,2020,2,8,2020,2,8,2020-2,0
prix inter parking,2020-02-08,2020-02-08,les amis de la pinède,petite pinède,2020,2,8,2020,2,8,2020-2,0
nuit du hand,2020-02-08,2020-02-08,oajlp handball,salle saint claude,2020,2,8,2020,2,8,2020-2,0
rencontre inter-clubs n3 + régional 1,2020-02-08,2020-02-09,badminton club d'antibes,salle collège fontonne,2020,2,8,2020,2,9,2020-2,1
marcassinade olympique,2020-02-09,2020-02-09,assa escalade,salle paul charpin,2020,2,9,2020,2,9,2020-2,0
rassemblement cycliste,2020-02-09,2020-02-09,vélo club antibois,parvis de la chapelle de la garoupe,2020,2,9,2020,2,9,2020-2,0
stage du club,2020-02-17,2020-02-21,as fontonne football,stade docteur léger,2020,2,17,2020,2,21,2020-2,4
prix des commerçants,2020-02-29,2020-02-29,as fontonne boule,clos borriglion,2020,2,29,2020,2,29,2020-2,0
